database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac8a0c27ee4c381dd6d5,3OgkfYg13Jj96E982moWje,Dungtitled (In a Major),https://p.scdn.co/mp3-preview/9d75fac6e9a537a087c6a36215a7501738c5f938?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.112,0.208,9,-22.618,1,0.0552,0.949,0.935,0.101,0.0285,74.31
5bb7ac8a0c27ee4c381dd6d6,2ec65Nx0L097neFuoZeTpK,Mistral,https://p.scdn.co/mp3-preview/2e27e5345c61830c76d4498495ceb74c50e10250?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.566,0.0908,9,-19.187,0,0.0334,0.968,0.94,0.085,0.036,108.067
5bb7ac8a0c27ee4c381dd6d7,7ixlvVphewtUP008zLJLJY,Tear-blind Eyes,https://p.scdn.co/mp3-preview/be205191af6f66c10fd987336310801721757c14?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.399,0.0772,1,-18.873,1,0.046,0.386,0.73,0.104,0.0371,179.76
5bb7ac8a0c27ee4c381dd6d8,44VAp0xmmV3DVoIe3Hs7V1,Parks On Fire,https://p.scdn.co/mp3-preview/55b5b31afa1a2b6314615f3e213c492e257e6ea5?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.483,0.617,10,-8.464,0,0.0466,0.147,0.528,0.21,0.203,167.823
5bb7ac8a0c27ee4c381dd6d9,0iFiaOGE9TcgyTvHZsmn6o,The End,https://p.scdn.co/mp3-preview/1a1ca7b23c87311fad15ca69b9a132798b77eb38?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.133,0.113,6,-27.028,1,0.0364,0.847,0.898,0.111,0.0357,84.437
5bb7ac8a0c27ee4c381dd6da,6knzYloG0x3MroAhnLVLGe,Bless This Morning Year,https://p.scdn.co/mp3-preview/11ef06ef74354d45faab7259fbe3fe66ca0e7b2e?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.554,0.172,3,-16.894,0,0.0292,0.961,0.914,0.0929,0.0367,99.998
5bb7ac8a0c27ee4c381dd6db,4hx8EYJ54QzRf7KrVrNn1H,Even If You're Never Awake,https://p.scdn.co/mp3-preview/8b5bd2ba126d43274a44ba72b47523554f658219?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.0823,0.0617,6,-24.077,1,0.0456,0.94,0.893,0.0813,0.0277,71.999
5bb7ac8a0c27ee4c381dd6dc,3q97jMwYQAsUH9njxLC36q,哀しみが時代を駆ける,https://p.scdn.co/mp3-preview/ca367eaad756eb36e2c510f629fb92ff2790a7e8?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.524,0.672,5,-6.138,1,0.0349,0.187,0,0.107,0.423,108.075
5bb7ac8a0c27ee4c381dd6dd,1FxGl2iWaEOXfuaFXfSQnP,ちょっと出かけてきます,https://p.scdn.co/mp3-preview/bc376b141f6a0d4f75c2ccdc2851cfe5f79c34d1?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.564,0.582,10,-6.15,1,0.0271,0.128,0.000888,0.152,0.268,141.964
5bb7ac8a0c27ee4c381dd6de,59PnubGMNOyUfEOoqJXDYc,エルガイム〜TIME FOR L-GAIM〜 (重戦機エルガイム) - <LIVE>,https://p.scdn.co/mp3-preview/c7f580970940d7880abfb251e9a384543f729844?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.369,0.92,5,-6.266,0,0.0865,0.289,3.10E-06,0.961,0.634,156.151
5bb7ac8a0c27ee4c381dd6df,4t8z5NkXyF6zJlHbHqGqjk,Art as,https://p.scdn.co/mp3-preview/c62840e7a7acc5daeb4144e698a7840640b07244?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.551,0.937,2,-7.248,1,0.0673,0.0116,1.27E-06,0.374,0.627,103.951
5bb7ac8a0c27ee4c381dd6e0,12fEySLdwksEglI7oC2W3D,なでなでなでな!,https://p.scdn.co/mp3-preview/d87e0e460378fcedb793388c38b6db1e3ba20cb4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.532,0.958,0,-4.126,1,0.0648,0.00388,1.21E-05,0.277,0.6,174.087
5bb7ac8a0c27ee4c381dd6e1,2g1k9DguVUrZSPIVzcphlQ,恋は渾沌の隷也,https://p.scdn.co/mp3-preview/724b686ce37ab62a8e352fced0bf7021b45dc83d?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.61,0.988,1,-2.88,1,0.107,0.0875,0.000148,0.191,0.761,157.968
5bb7ac8a0c27ee4c381dd6e2,2gCsOvK6jk39QcD5KUWf6A,Naisho No Hanashi,https://p.scdn.co/mp3-preview/d9193c87ffca6be58ce16405ae8707531a337044?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.516,0.921,9,-4.423,1,0.0448,0.000957,0.488,0.0317,0.502,96.979
